Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Locus
ENSG00000143850,622.0853227380424,-2.535545564467965,0.42136563168457425,-6.017447494070952,1.7718875950616462e-9,2.4772727855128746e-7,Prot.218
ENSG00000177469,2951.654881243882,1.7847894561635802,0.2969774216607526,6.009848985093574,1.856962197176892e-9,2.580384848260012e-7,Prot.218
ENSG00000184500,11445.03566598917,1.5707441963025957,0.2615755125082561,6.0049359408328336,1.914074607377017e-9,2.643627044091809e-7,Prot.218
ENSG00000135525,2141.507067221673,2.2081781127917517,0.3690443312660671,5.983503676147076,2.1838810579242158e-9,2.998100327050298e-7,Prot.218
ENSG00000165406,4307.476083081607,-1.5983593192096377,0.26760009884608293,-5.972939943228403,2.330156979684965e-9,3.179757329942555e-7,Prot.218
ENSG00000148848,367.7264586977348,2.9265765201966962,0.49052513888245086,5.966211083216306,2.428261128986462e-9,3.2939073135995525e-7,Prot.218
ENSG00000143248,443.66955738187426,-2.9230035851796003,0.4911267279281971,-5.951627999376455,2.6548826717160155e-9,3.5800071719370575e-7,Prot.218
ENSG00000064115,7630.900994617512,1.822434620553296,0.30666446750832266,5.9427642053242975,2.802554309966629e-9,3.7569064805782066e-7,Prot.218
ENSG00000169224,31806.978995448462,1.44869551917491,0.2447840817581619,5.918258690555583,3.253679324300275e-9,4.336146088975379e-7,Prot.218
ENSG00000153071,5083.079707093906,1.5444300949699725,0.2622546993362866,5.889046407475678,3.884303703943705e-9,5.146476576114714e-7,Prot.218
ENSG00000136404,4653.238169534017,1.5601463351520295,0.265495742372352,5.876351617586237,4.194069948328634e-9,5.524778037714523e-7,Prot.218
ENSG00000106327,3018.799857263817,-1.683913370015995,0.2867590092743026,-5.87222481440933,4.2998508824961494e-9,5.631569066735906e-7,Prot.218
ENSG00000115756,994.4034955028125,2.1186897203815884,0.3610537421871822,5.868073011920728,4.408891119209911e-9,5.741383983752838e-7,Prot.218
ENSG00000075035,788.7010011238017,-2.9357073978969863,0.5015663566524389,-5.853078778031536,4.825554082037609e-9,6.248269998611083e-7,Prot.218
ENSG00000102393,14397.986853282875,1.6168022925879628,0.27687920249525116,5.839377887603144,5.239610374481985e-9,6.746072362941805e-7,Prot.218
ENSG00000237517,129.05359222081879,5.024462532311002,0.8612430300709695,5.833965973456956,5.41251637059469e-9,6.929541324128225e-7,Prot.218
ENSG00000173706,1951.7766569938772,1.8170383148471723,0.3116744930867899,5.82992306124067,5.545293740850185e-9,7.059871455879043e-7,Prot.218
ENSG00000106366,397.3909739528842,2.7957887287791348,0.4796470658770695,5.82884568191162,5.5812084360499215e-9,7.066119947174537e-7,Prot.218
ENSG00000144354,3912.622808878256,-1.5878737935649545,0.2726752476886437,-5.823314756380382,5.769175410839186e-9,7.263742455116808e-7,Prot.218
ENSG00000016391,571.9072176322123,2.448467148869672,0.42142337627111953,5.809993670817324,6.247520432525381e-9,7.822788084440709e-7,Prot.218
ENSG00000204131,1909.213138820461,-1.9972729370647309,0.3439597091670308,-5.806706087470356,6.371383643283996e-9,7.934287532611966e-7,Prot.218
ENSG00000087076,734.2984211087196,2.329154641695939,0.4014001045443114,5.802576071424064,6.530375022451566e-9,8.088082412317867e-7,Prot.218
ENSG00000186469,2214.9548903796767,-1.8998188559020595,0.3279856923623056,-5.792383326902707,6.939453232698261e-9,8.548281065943819e-7,Prot.218
ENSG00000159388,4078.9670034076344,1.622999736386311,0.280322555287573,5.789757926262241,7.048793838826612e-9,8.636288322205358e-7,Prot.218
ENSG00000105205,73012.59404487557,1.5395870158867273,0.2660460930724212,5.786918342257451,7.168940574237427e-9,8.736523355416937e-7,Prot.218
ENSG00000114353,3524.6500227765528,1.642834546047494,0.2839508082845658,5.785630813915843,7.2240716942110505e-9,8.756881374434874e-7,Prot.218
ENSG00000081041,400.8424537957033,2.745185052178717,0.4762535470513569,5.764125158069824,8.208248799376749e-9,9.897237136983954e-7,Prot.218
ENSG00000073712,1025.395611298152,-2.080537086219505,0.3628682934142511,-5.733587430975569,9.832834261774433e-9,1.1793708420609345e-6,Prot.218
ENSG00000123091,2059.462974438471,1.9711344590315556,0.3441239165219696,5.72797868556664,1.0163433225192625e-8,1.212641255334632e-6,Prot.218
